name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
ar1_rho0p9_p1000_n3000_k60_A3p5,0,3000,1000,ar1,0.9,60,3.5,Knockoff+,0,0,0,0.0,0.0,,,490,46,444,0.9061224489795918,0.7666666666666667,289,34,255,0.8823529411764706,0.5666666666666667,981,60,921,0.9388379204892966,1.0,0,438,1019,1496811569
ar1_rho0p9_p1000_n3000_k60_A3p5,1,3000,1000,ar1,0.9,60,3.5,Knockoff+,0,0,0,0.0,0.0,,,495,45,450,0.9090909090909091,0.75,341,34,307,0.9002932551319648,0.5666666666666667,993,60,933,0.9395770392749244,1.0,0,435,1020,1037062526
ar1_rho0p9_p1000_n3000_k60_A3p5,2,3000,1000,ar1,0.9,60,3.5,Knockoff+,0,0,0,0.0,0.0,,,513,45,468,0.9122807017543859,0.75,263,34,229,0.870722433460076,0.5666666666666667,992,60,932,0.9395161290322581,1.0,0,438,1021,2072816697
ar1_rho0p9_p1000_n3000_k60_A3p5,3,3000,1000,ar1,0.9,60,3.5,Knockoff+,0,0,0,0.0,0.0,,,523,48,475,0.9082217973231358,0.8,279,35,244,0.8745519713261649,0.5833333333333334,982,60,922,0.9389002036659878,1.0,0,432,1022,1965328051
ar1_rho0p9_p1000_n3000_k60_A3p5,4,3000,1000,ar1,0.9,60,3.5,Knockoff+,0,0,0,0.0,0.0,,,476,42,434,0.9117647058823529,0.7,267,32,235,0.8801498127340824,0.5333333333333333,985,60,925,0.9390862944162437,1.0,0,428,1023,1833765991
ar1_rho0p9_p1000_n3000_k60_A3p5,5,3000,1000,ar1,0.9,60,3.5,Knockoff+,0,0,0,0.0,0.0,,,449,45,404,0.8997772828507795,0.75,240,32,208,0.8666666666666667,0.5333333333333333,983,60,923,0.9389623601220752,1.0,0,427,1024,1981368384
ar1_rho0p9_p1000_n3000_k60_A3p5,6,3000,1000,ar1,0.9,60,3.5,Knockoff+,7,5,2,0.2857142857142857,0.08333333333333333,0.1226263350831929,0.14285714285714285,574,50,524,0.9128919860627178,0.8333333333333334,313,40,273,0.8722044728434505,0.6666666666666666,984,59,925,0.9400406504065041,0.9833333333333333,7,421,1025,1001841501
ar1_rho0p9_p1000_n3000_k60_A3p5,7,3000,1000,ar1,0.9,60,3.5,Knockoff+,0,0,0,0.0,0.0,,,425,41,384,0.9035294117647059,0.6833333333333333,229,31,198,0.8646288209606987,0.5166666666666667,989,60,929,0.9393326592517695,1.0,0,433,1026,1663451960
ar1_rho0p9_p1000_n3000_k60_A3p5,8,3000,1000,ar1,0.9,60,3.5,Knockoff+,0,0,0,0.0,0.0,,,532,48,484,0.9097744360902256,0.8,297,40,257,0.8653198653198653,0.6666666666666666,988,60,928,0.9392712550607287,1.0,0,429,1027,1927432640
ar1_rho0p9_p1000_n3000_k60_A3p5,9,3000,1000,ar1,0.9,60,3.5,Knockoff+,0,0,0,0.0,0.0,,,483,44,439,0.9089026915113871,0.7333333333333333,279,38,241,0.8637992831541219,0.6333333333333333,981,60,921,0.9388379204892966,1.0,0,438,1028,1911539461
ar1_rho0p9_p1000_n3000_k60_A3p5,10,3000,1000,ar1,0.9,60,3.5,Knockoff+,0,0,0,0.0,0.0,,,495,44,451,0.9111111111111111,0.7333333333333333,280,30,250,0.8928571428571429,0.5,985,60,925,0.9390862944162437,1.0,0,444,1029,1319723531
