name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
iid_p1000_n3000_k60_A5p0,0,3000,1000,iid,,60,5.0,Knockoff+,67,59,8,0.11940298507462686,0.9833333333333333,0.048803496336569,0.19402985074626866,68,55,13,0.19117647058823528,0.9166666666666666,49,48,1,0.02040816326530612,0.8,985,60,925,0.9390862944162437,1.0,67,446,1019,1496811569
iid_p1000_n3000_k60_A5p0,1,3000,1000,iid,,60,5.0,Knockoff+,71,58,13,0.18309859154929578,0.9666666666666667,0.04532965144713615,0.19718309859154928,74,58,16,0.21621621621621623,0.9666666666666667,52,51,1,0.019230769230769232,0.85,979,60,919,0.9387129724208376,1.0,71,441,1020,1037062526
iid_p1000_n3000_k60_A5p0,2,3000,1000,iid,,60,5.0,Knockoff+,69,60,9,0.13043478260869565,1.0,0.04890564834472759,0.18840579710144928,70,58,12,0.17142857142857143,0.9666666666666667,50,47,3,0.06,0.7833333333333333,985,60,925,0.9390862944162437,1.0,69,440,1021,2072816697
iid_p1000_n3000_k60_A5p0,3,3000,1000,iid,,60,5.0,Knockoff+,70,59,11,0.15714285714285714,0.9833333333333333,0.04997166844730562,0.2,66,56,10,0.15151515151515152,0.9333333333333333,50,49,1,0.02,0.8166666666666667,980,60,920,0.9387755102040817,1.0,70,438,1022,1965328051
iid_p1000_n3000_k60_A5p0,4,3000,1000,iid,,60,5.0,Knockoff+,66,54,12,0.18181818181818182,0.9,0.050458204720361305,0.19696969696969696,77,54,23,0.2987012987012987,0.9,47,45,2,0.0425531914893617,0.75,985,60,925,0.9390862944162437,1.0,66,430,1023,1833765991
iid_p1000_n3000_k60_A5p0,5,3000,1000,iid,,60,5.0,Knockoff+,70,58,12,0.17142857142857143,0.9666666666666667,0.04608970331988824,0.2,70,55,15,0.21428571428571427,0.9166666666666666,52,49,3,0.057692307692307696,0.8166666666666667,981,60,921,0.9388379204892966,1.0,70,433,1024,1981368384
iid_p1000_n3000_k60_A5p0,6,3000,1000,iid,,60,5.0,Knockoff+,78,60,18,0.23076923076923078,1.0,0.04584671577652328,0.19230769230769232,72,58,14,0.19444444444444445,0.9666666666666667,49,48,1,0.02040816326530612,0.8,983,60,923,0.9389623601220752,1.0,78,440,1025,1001841501
iid_p1000_n3000_k60_A5p0,7,3000,1000,iid,,60,5.0,Knockoff+,74,60,14,0.1891891891891892,1.0,0.045721027553487135,0.1891891891891892,71,57,14,0.19718309859154928,0.95,51,49,2,0.0392156862745098,0.8166666666666667,985,60,925,0.9390862944162437,1.0,74,449,1026,1663451960
iid_p1000_n3000_k60_A5p0,8,3000,1000,iid,,60,5.0,Knockoff+,81,58,23,0.2839506172839506,0.9666666666666667,0.043102097347770034,0.19753086419753085,69,59,10,0.14492753623188406,0.9833333333333333,52,50,2,0.038461538461538464,0.8333333333333334,989,60,929,0.9393326592517695,1.0,81,451,1027,1927432640
iid_p1000_n3000_k60_A5p0,9,3000,1000,iid,,60,5.0,Knockoff+,72,60,12,0.16666666666666666,1.0,0.04683120136354578,0.19444444444444445,77,58,19,0.24675324675324675,0.9666666666666667,49,47,2,0.04081632653061224,0.7833333333333333,991,60,931,0.9394550958627649,1.0,72,443,1028,1911539461
iid_p1000_n3000_k60_A5p0,10,3000,1000,iid,,60,5.0,Knockoff+,80,57,23,0.2875,0.95,0.04342670204841131,0.2,79,59,20,0.25316455696202533,0.9833333333333333,51,51,0,0.0,0.85,990,60,930,0.9393939393939394,1.0,80,444,1029,1319723531
iid_p1000_n3000_k60_A5p0,11,3000,1000,iid,,60,5.0,Knockoff+,73,58,15,0.2054794520547945,0.9666666666666667,0.04609785893514471,0.1917808219178082,71,59,12,0.16901408450704225,0.9833333333333333,53,51,2,0.03773584905660377,0.85,982,60,922,0.9389002036659878,1.0,73,442,1030,1109980484
iid_p1000_n3000_k60_A5p0,12,3000,1000,iid,,60,5.0,Knockoff+,82,60,22,0.2682926829268293,1.0,0.04239345222981898,0.1951219512195122,79,58,21,0.26582278481012656,0.9666666666666667,47,47,0,0.0,0.7833333333333333,984,60,924,0.9390243902439024,1.0,82,444,1031,1891370037
iid_p1000_n3000_k60_A5p0,13,3000,1000,iid,,60,5.0,Knockoff+,62,56,6,0.0967741935483871,0.9333333333333333,0.05391203436070184,0.1935483870967742,69,55,14,0.2028985507246377,0.9166666666666666,44,43,1,0.022727272727272728,0.7166666666666667,976,60,916,0.9385245901639344,1.0,62,447,1032,497408566
iid_p1000_n3000_k60_A5p0,14,3000,1000,iid,,60,5.0,Knockoff+,81,59,22,0.2716049382716049,0.9833333333333333,0.04283257755530564,0.19753086419753085,81,57,24,0.2962962962962963,0.95,50,46,4,0.08,0.7666666666666667,978,60,918,0.9386503067484663,1.0,81,439,1033,1063940538
iid_p1000_n3000_k60_A5p0,15,3000,1000,iid,,60,5.0,Knockoff+,63,59,4,0.06349206349206349,0.9833333333333333,0.05011074126146887,0.19047619047619047,65,55,10,0.15384615384615385,0.9166666666666666,52,52,0,0.0,0.8666666666666667,988,60,928,0.9392712550607287,1.0,63,436,1034,1993893427
iid_p1000_n3000_k60_A5p0,16,3000,1000,iid,,60,5.0,Knockoff+,56,55,1,0.017857142857142856,0.9166666666666666,0.05775379575280451,0.19642857142857142,77,58,19,0.24675324675324675,0.9666666666666667,48,48,0,0.0,0.8,980,60,920,0.9387755102040817,1.0,56,448,1035,1152833301
iid_p1000_n3000_k60_A5p0,17,3000,1000,iid,,60,5.0,Knockoff+,71,59,12,0.16901408450704225,0.9833333333333333,0.04489980637900043,0.19718309859154928,76,59,17,0.2236842105263158,0.9833333333333333,55,53,2,0.03636363636363636,0.8833333333333333,985,60,925,0.9390862944162437,1.0,71,451,1036,476256779
iid_p1000_n3000_k60_A5p0,18,3000,1000,iid,,60,5.0,Knockoff+,63,54,9,0.14285714285714285,0.9,0.054392410205397444,0.19047619047619047,73,55,18,0.2465753424657534,0.9166666666666666,50,49,1,0.02,0.8166666666666667,991,60,931,0.9394550958627649,1.0,63,440,1037,110581346
iid_p1000_n3000_k60_A5p0,19,3000,1000,iid,,60,5.0,Knockoff+,71,59,12,0.16901408450704225,0.9833333333333333,0.045882880514548266,0.19718309859154928,66,58,8,0.12121212121212122,0.9666666666666667,47,47,0,0.0,0.7833333333333333,979,60,919,0.9387129724208376,1.0,71,433,1038,1031888553
iid_p1000_n3000_k60_A5p0,20,3000,1000,iid,,60,5.0,Knockoff+,63,57,6,0.09523809523809523,0.95,0.05240150333119282,0.19047619047619047,67,54,13,0.19402985074626866,0.9,54,53,1,0.018518518518518517,0.8833333333333333,982,60,922,0.9389002036659878,1.0,63,444,1039,538228480
iid_p1000_n3000_k60_A5p0,21,3000,1000,iid,,60,5.0,Knockoff+,85,59,26,0.3058823529411765,0.9833333333333333,0.043956131580355835,0.2,75,57,18,0.24,0.95,51,49,2,0.0392156862745098,0.8166666666666667,978,60,918,0.9386503067484663,1.0,85,445,1040,1090653847
iid_p1000_n3000_k60_A5p0,22,3000,1000,iid,,60,5.0,Knockoff+,71,58,13,0.18309859154929578,0.9666666666666667,0.04403055091914837,0.19718309859154928,64,53,11,0.171875,0.8833333333333333,47,47,0,0.0,0.7833333333333333,984,60,924,0.9390243902439024,1.0,71,438,1041,876308058
iid_p1000_n3000_k60_A5p0,23,3000,1000,iid,,60,5.0,Knockoff+,65,57,8,0.12307692307692308,0.95,0.04904190931505686,0.2,68,57,11,0.16176470588235295,0.95,47,47,0,0.0,0.7833333333333333,977,60,917,0.9385875127942682,1.0,65,436,1042,205448318
iid_p1000_n3000_k60_A5p0,24,3000,1000,iid,,60,5.0,Knockoff+,81,58,23,0.2839506172839506,0.9666666666666667,0.04286216413891389,0.19753086419753085,75,58,17,0.22666666666666666,0.9666666666666667,48,46,2,0.041666666666666664,0.7666666666666667,983,60,923,0.9389623601220752,1.0,81,440,1043,252716055
iid_p1000_n3000_k60_A5p0,25,3000,1000,iid,,60,5.0,Knockoff+,76,58,18,0.23684210526315788,0.9666666666666667,0.043296713795846715,0.19736842105263158,70,56,14,0.2,0.9333333333333333,46,45,1,0.021739130434782608,0.75,980,60,920,0.9387755102040817,1.0,76,447,1044,1553324890
